market,low_price,acc_trade_price_24h
KRW-SNT,31,672363410
KRW-XEM,33,1080583480
KRW-STEEM,227,2571539629
KRW-XLM,140,3484485680
KRW-ARDR,89,863280082
KRW-GRS,615,3762117616
KRW-ADA,333,3080089232
KRW-POWR,202,5255846817
KRW-ICX,222,1274366795
KRW-EOS,725,3338155733
KRW-ONT,218,898687857
KRW-ZIL,21,1503397404
KRW-POLYX,159,2280136826
KRW-BAT,230,1899388682
KRW-IOST,9,1151850047
KRW-CVC,98,786050994
KRW-IQ,6,4039056149
KRW-IOTA,190,1587391876
KRW-HIFI,810,5945958102
KRW-ONG,298,1254230773
KRW-UPP,78,1484131880
KRW-ELF,451,5126359474
KRW-KNC,873,4973661490
KRW-THETA,788,1176799678
KRW-QKC,10,814581333
KRW-MOC,102,4191689298
KRW-TFUEL,42,950478486
KRW-MANA,371,1265868889
KRW-ANKR,25,2156169327
KRW-AERGO,131,1187146927
KRW-HBAR,62,1926680082
KRW-MED,11,1060186913
KRW-MLK,327,2972464302
KRW-VET,22,1658595721
KRW-CHZ,75,1681910789
KRW-DKA,34,1587602708
KRW-HIVE,391,1709467248
KRW-KAVA,785,5292360004
KRW-AHT,8,3498620708
KRW-BORA,146,1833359751
KRW-JST,29,578729744
KRW-CRO,66,1068341225
KRW-SXP,363,2287915063
KRW-HUNT,403,2646940054
KRW-PLA,195,4010242806
KRW-GLM,233,2732005161
KRW-SSX,19,852502334
KRW-META,30,1252653127
KRW-FCT2,71,4328101682
KRW-SAND,380,4577369285
KRW-HPO,84,673862262
KRW-PUNDIX,451,2140996267
KRW-FLOW,563,4697004468
KRW-MATIC,695,3791526245
KRW-1INCH,319,1192428763
KRW-ALGO,126,1479534972
KRW-CELO,556,1590030530
KRW-GMT,191,3285832736
KRW-SUI,552,6183217615
KRW-GRT,109,609146289
KRW-BLUR,211,1627972758
KRW-IMX,691,6363852289
